order_item_id,order_id,product_id,quantity,unit_price,discount_amount,created_at,updated_at
OI-00010-2,ORD-00010,PROD-119,1,378.05,0,2024-06-23 20:31:12,2024-06-23 20:31:12
OI-00011-1,ORD-00011,PROD-140,4,29.92,6.54,2024-11-12 10:38:24,2024-11-12 10:38:24
OI-00011-2,ORD-00011,PROD-111,2,831.12,0,2024-11-12 10:38:24,2024-11-12 10:38:24
OI-00012-1,ORD-00012,PROD-120,2,455.08,0,2024-05-25 20:47:50,2024-05-25 20:47:50
OI-00012-2,ORD-00012,PROD-131,4,207.47,0,2024-05-25 20:47:50,2024-05-25 20:47:50
OI-00013-1,ORD-00013,PROD-117,4,521.02,0,2024-07-14 16:33:26,2024-07-14 16:33:26
OI-00013-2,ORD-00013,PROD-104,1,537.47,0,2024-07-14 16:33:26,2024-07-14 16:33:26
OI-00014-1,ORD-00014,PROD-133,2,754.46,0,2024-03-04 12:05:48,2024-03-04 12:05:48
OI-00014-2,ORD-00014,PROD-110,3,152.58,0,2024-03-04 12:05:48,2024-03-04 12:05:48
OI-00014-3,ORD-00014,PROD-128,4,237.63,71.58,2024-03-04 12:05:48,2024-03-04 12:05:48
OI-00014-4,ORD-00014,PROD-106,2,210.4,0,2024-03-04 12:05:48,2024-03-04 12:05:48
OI-00015-1,ORD-00015,PROD-109,3,774.44,0,2024-07-10 11:01:20,2024-07-10 11:01:20
OI-00015-2,ORD-00015,PROD-103,4,594.17,0,2024-07-10 11:01:20,2024-07-10 11:01:20
OI-00016-1,ORD-00016,PROD-117,2,521.02,0,2024-12-27 15:28:39,2024-12-27 15:28:39
OI-00017-1,ORD-00017,PROD-108,4,415.88,0,2024-11-07 16:27:07,2024-11-07 16:27:07
OI-00017-2,ORD-00017,PROD-104,4,537.47,269.82,2024-11-07 16:27:07,2024-11-07 16:27:07
OI-00017-3,ORD-00017,PROD-116,4,74.59,0,2024-11-07 16:27:07,2024-11-07 16:27:07
OI-00018-1,ORD-00018,PROD-128,3,237.63,44.55,2024-11-19 16:36:15,2024-11-19 16:36:15
OI-00018-2,ORD-00018,PROD-101,1,655.83,0,2024-11-19 16:36:15,2024-11-19 16:36:15
OI-00018-3,ORD-00018,PROD-140,3,29.92,7.08,2024-11-19 16:36:15,2024-11-19 16:36:15
OI-00019-1,ORD-00019,PROD-124,1,24.66,0,2024-10-10 08:24:55,2024-10-10 08:24:55
OI-00019-2,ORD-00019,PROD-117,1,521.02,0,2024-10-10 08:24:55,2024-10-10 08:24:55
OI-00019-3,ORD-00019,PROD-102,3,652.45,103.44,2024-10-10 08:24:55,2024-10-10 08:24:55
OI-00019-4,ORD-00019,PROD-123,3,284.29,0,2024-10-10 08:24:55,2024-10-10 08:24:55
OI-00020-1,ORD-00020,PROD-105,1,798.17,5.24,2024-12-16 15:44:30,2024-12-16 15:44:30
OI-00020-2,ORD-00020,PROD-130,2,72.97,0,2024-12-16 15:44:30,2024-12-16 15:44:30
OI-00021-1,ORD-00021,PROD-103,3,594.17,0,2024-06-07 16:25:52,2024-06-07 16:25:52
OI-00021-2,ORD-00021,PROD-113,1,454.72,0,2024-06-07 16:25:52,2024-06-07 16:25:52
OI-00021-3,ORD-00021,PROD-119,3,378.05,135.99,2024-06-07 16:25:52,2024-06-07 16:25:52
OI-00022-1,ORD-00022,PROD-132,3,381.18,0,2024-07-23 19:28:57,2024-07-23 19:28:57
OI-00022-2,ORD-00022,PROD-124,4,24.66,8.91,2024-07-23 19:28:57,2024-07-23 19:28:57
OI-00023-1,ORD-00023,PROD-119,4,378.05,100.69,2024-04-02 16:18:20,2024-04-02 16:18:20
OI-00023-2,ORD-00023,PROD-120,4,455.08,237.56,2024-04-02 16:18:20,2024-04-02 16:18:20
OI-00023-3,ORD-00023,PROD-129,3,263.71,0,2024-04-02 16:18:20,2024-04-02 16:18:20
OI-00024-1,ORD-00024,PROD-133,2,754.46,0,2024-05-20 18:50:03,2024-05-20 18:50:03
OI-00024-2,ORD-00024,PROD-111,4,831.12,33.53,2024-05-20 18:50:03,2024-05-20 18:50:03
OI-00024-3,ORD-00024,PROD-102,3,652.45,0,2024-05-20 18:50:03,2024-05-20 18:50:03
OI-00025-1,ORD-00025,PROD-129,2,263.71,0,2024-01-17 17:09:43,2024-01-17 17:09:43
OI-00025-2,ORD-00025,PROD-105,4,798.17,0,2024-01-17 17:09:43,2024-01-17 17:09:43
OI-00025-3,ORD-00025,PROD-137,3,276.02,14.09,2024-01-17 17:09:43,2024-01-17 17:09:43
OI-00026-1,ORD-00026,PROD-117,3,521.02,0,2024-04-05 15:33:24,2024-04-05 15:33:24
OI-00026-2,ORD-00026,PROD-129,4,263.71,21.48,2024-04-05 15:33:24,2024-04-05 15:33:24
OI-00026-3,ORD-00026,PROD-114,1,516.29,0,2024-04-05 15:33:24,2024-04-05 15:33:24
OI-00027-1,ORD-00027,PROD-105,3,798.17,0,2024-12-31 15:05:51,2024-12-31 15:05:51
OI-00027-2,ORD-00027,PROD-136,2,556.06,0,2024-12-31 15:05:51,2024-12-31 15:05:51
OI-00027-3,ORD-00027,PROD-135,2,490.52,0,2024-12-31 15:05:51,2024-12-31 15:05:51
OI-00028-1,ORD-00028,PROD-102,3,652.45,0,2024-04-24 09:12:50,2024-04-24 09:12:50
OI-00028-2,ORD-00028,PROD-124,2,24.66,0,2024-04-24 09:12:50,2024-04-24 09:12:50
OI-00028-3,ORD-00028,PROD-136,1,556.06,33.21,2024-04-24 09:12:50,2024-04-24 09:12:50
OI-00028-4,ORD-00028,PROD-137,4,276.02,0,2024-04-24 09:12:50,2024-04-24 09:12:50
OI-00029-1,ORD-00029,PROD-129,4,263.71,0,2024-07-28 21:36:04,2024-07-28 21:36:04
OI-00030-1,ORD-00030,PROD-109,1,774.44,0,2024-03-06 22:53:49,2024-03-06 22:53:49
OI-00030-2,ORD-00030,PROD-128,2,237.63,0,2024-03-06 22:53:49,2024-03-06 22:53:49
OI-00031-1,ORD-00031,PROD-106,3,210.4,28.67,2024-06-14 22:45:14,2024-06-14 22:45:14
OI-00031-2,ORD-00031,PROD-117,1,521.02,0,2024-06-14 22:45:14,2024-06-14 22:45:14
OI-00031-3,ORD-00031,PROD-113,2,454.72,0,2024-06-14 22:45:14,2024-06-14 22:45:14
OI-00032-1,ORD-00032,PROD-137,1,276.02,26.56,2024-03-19 10:42:39,2024-03-19 10:42:39
OI-00032-2,ORD-00032,PROD-103,3,594.17,0,2024-03-19 10:42:39,2024-03-19 10:42:39
OI-00032-3,ORD-00032,PROD-102,4,652.45,0,2024-03-19 10:42:39,2024-03-19 10:42:39
OI-00033-1,ORD-00033,PROD-126,4,457.47,16.45,2024-11-17 16:18:41,2024-11-17 16:18:41
OI-00033-2,ORD-00033,PROD-120,4,455.08,0,2024-11-17 16:18:41,2024-11-17 16:18:41
OI-00034-1,ORD-00034,PROD-126,1,457.47,0,2024-04-14 13:38:09,2024-04-14 13:38:09
OI-00034-2,ORD-00034,PROD-109,4,774.44,208.91,2024-04-14 13:38:09,2024-04-14 13:38:09
OI-00034-3,ORD-00034,PROD-124,2,24.66,2.15,2024-04-14 13:38:09,2024-04-14 13:38:09
OI-00035-1,ORD-00035,PROD-113,4,454.72,0,2024-11-11 14:15:55,2024-11-11 14:15:55
OI-00035-2,ORD-00035,PROD-111,3,831.12,0,2024-11-11 14:15:55,2024-11-11 14:15:55
OI-00035-3,ORD-00035,PROD-132,1,381.18,0,2024-11-11 14:15:55,2024-11-11 14:15:55
OI-00036-1,ORD-00036,PROD-119,4,378.05,0,2024-08-22 11:13:37,2024-08-22 11:13:37
OI-00037-1,ORD-00037,PROD-128,2,237.63,0,2024-11-30 18:30:18,2024-11-30 18:30:18
OI-00038-1,ORD-00038,PROD-137,2,276.02,0,2024-07-06 20:25:23,2024-07-06 20:25:23
OI-00039-1,ORD-00039,PROD-109,1,774.44,0,2024-02-07 14:32:28,2024-02-07 14:32:28
OI-00040-1,ORD-00040,PROD-133,4,754.46,0,2024-06-22 16:23:48,2024-06-22 16:23:48
OI-00040-2,ORD-00040,PROD-103,2,594.17,0,2024-06-22 16:23:48,2024-06-22 16:23:48
OI-00040-3,ORD-00040,PROD-109,2,774.44,0,2024-06-22 16:23:48,2024-06-22 16:23:48
OI-00040-4,ORD-00040,PROD-122,3,896.26,399.53,2024-06-22 16:23:48,2024-06-22 16:23:48
OI-00041-1,ORD-00041,PROD-137,3,276.02,0,2024-06-02 17:21:32,2024-06-02 17:21:32
OI-00041-2,ORD-00041,PROD-120,1,455.08,0,2024-06-02 17:21:32,2024-06-02 17:21:32
OI-00041-3,ORD-00041,PROD-131,3,207.47,0,2024-06-02 17:21:32,2024-06-02 17:21:32
OI-00041-4,ORD-00041,PROD-102,1,652.45,0,2024-06-02 17:21:32,2024-06-02 17:21:32
OI-00042-1,ORD-00042,PROD-138,4,228.67,86.3,2024-12-01 20:49:37,2024-12-01 20:49:37
OI-00043-1,ORD-00043,PROD-113,1,454.72,0,2024-07-13 10:52:43,2024-07-13 10:52:43
OI-00044-1,ORD-00044,PROD-104,3,537.47,0,2024-03-18 14:44:13,2024-03-18 14:44:13
OI-00044-2,ORD-00044,PROD-109,4,774.44,0,2024-03-18 14:44:13,2024-03-18 14:44:13
OI-00044-3,ORD-00044,PROD-134,3,165.71,0,2024-03-18 14:44:13,2024-03-18 14:44:13
OI-00044-4,ORD-00044,PROD-114,4,516.29,0,2024-03-18 14:44:13,2024-03-18 14:44:13
OI-00045-1,ORD-00045,PROD-113,3,454.72,199.08,2024-10-06 13:43:49,2024-10-06 13:43:49
OI-00045-2,ORD-00045,PROD-116,3,74.59,0,2024-10-06 13:43:49,2024-10-06 13:43:49
OI-00045-3,ORD-00045,PROD-118,2,399.59,0,2024-10-06 13:43:49,2024-10-06 13:43:49
OI-00045-4,ORD-00045,PROD-136,4,556.06,0,2024-10-06 13:43:49,2024-10-06 13:43:49
OI-00046-1,ORD-00046,PROD-126,1,457.47,49.0,2024-05-20 12:07:36,2024-05-20 12:07:36
OI-00046-2,ORD-00046,PROD-123,3,284.29,0,2024-05-20 12:07:36,2024-05-20 12:07:36
OI-00046-3,ORD-00046,PROD-110,3,152.58,0,2024-05-20 12:07:36,2024-05-20 12:07:36
OI-00046-4,ORD-00046,PROD-119,2,378.05,61.08,2024-05-20 12:07:36,2024-05-20 12:07:36
OI-00047-1,ORD-00047,PROD-116,2,74.59,0,2024-10-14 19:17:08,2024-10-14 19:17:08
OI-00047-2,ORD-00047,PROD-104,1,537.47,26.63,2024-10-14 19:17:08,2024-10-14 19:17:08
OI-00048-1,ORD-00048,PROD-127,4,631.92,0,2024-02-21 18:49:08,2024-02-21 18:49:08
OI-00048-2,ORD-00048,PROD-131,3,207.47,0,2024-02-21 18:49:08,2024-02-21 18:49:08
OI-00049-1,ORD-00049,PROD-135,2,490.52,0,2024-01-31 22:49:05,2024-01-31 22:49:05
OI-00049-2,ORD-00049,PROD-103,2,594.17,0,2024-01-31 22:49:05,2024-01-31 22:49:05
OI-00050-1,ORD-00050,PROD-101,3,655.83,0,2024-07-22 20:31:11,2024-07-22 20:31:11
OI-00051-1,ORD-00051,PROD-133,3,754.46,38.24,2024-05-25 15:41:34,2024-05-25 15:41:34
OI-00051-2,ORD-00051,PROD-130,2,72.97,0,2024-05-25 15:41:34,2024-05-25 15:41:34
OI-00052-1,ORD-00052,PROD-137,4,276.02,0,2024-05-11 19:11:00,2024-05-11 19:11:00
OI-00052-2,ORD-00052,PROD-113,3,454.72,136.95,2024-05-11 19:11:00,2024-05-11 19:11:00
OI-00052-3,ORD-00052,PROD-112,2,437.58,0,2024-05-11 19:11:00,2024-05-11 19:11:00
OI-00053-1,ORD-00053,PROD-122,1,896.26,48.34,2024-05-07 08:16:24,2024-05-07 08:16:24
OI-00053-2,ORD-00053,PROD-120,2,455.08,16.14,2024-05-07 08:16:24,2024-05-07 08:16:24
OI-00053-3,ORD-00053,PROD-138,3,228.67,70.6,2024-05-07 08:16:24,2024-05-07 08:16:24
OI-00054-1,ORD-00054,PROD-140,4,29.92,13.42,2024-12-26 20:19:44,2024-12-26 20:19:44
OI-00054-2,ORD-00054,PROD-115,3,281.72,0,2024-12-26 20:19:44,2024-12-26 20:19:44
OI-00054-3,ORD-00054,PROD-109,4,774.44,0,2024-12-26 20:19:44,2024-12-26 20:19:44
OI-00055-1,ORD-00055,PROD-134,4,165.71,0,2024-12-06 21:13:48,2024-12-06 21:13:48
OI-00056-1,ORD-00056,PROD-137,2,276.02,70.76,2024-02-09 22:36:07,2024-02-09 22:36:07
OI-00056-2,ORD-00056,PROD-135,4,490.52,60.45,2024-02-09 22:36:07,2024-02-09 22:36:07
OI-00057-1,ORD-00057,PROD-109,1,774.44,0,2024-09-07 09:57:32,2024-09-07 09:57:32
OI-00057-2,ORD-00057,PROD-133,3,754.46,0,2024-09-07 09:57:32,2024-09-07 09:57:32
OI-00057-3,ORD-00057,PROD-127,4,631.92,1.14,2024-09-07 09:57:32,2024-09-07 09:57:32
OI-00057-4,ORD-00057,PROD-130,2,72.97,0,2024-09-07 09:57:32,2024-09-07 09:57:32
OI-00058-1,ORD-00058,PROD-131,1,207.47,5.6,2024-08-04 13:44:04,2024-08-04 13:44:04
OI-00059-1,ORD-00059,PROD-125,3,327.41,146.28,2024-11-24 19:41:26,2024-11-24 19:41:26
OI-00059-2,ORD-00059,PROD-106,4,210.4,0,2024-11-24 19:41:26,2024-11-24 19:41:26
OI-00059-3,ORD-00059,PROD-135,2,490.52,0,2024-11-24 19:41:26,2024-11-24 19:41:26
OI-00059-4,ORD-00059,PROD-109,1,774.44,0,2024-11-24 19:41:26,2024-11-24 19:41:26
OI-00060-1,ORD-00060,PROD-116,3,74.59,6.33,2024-12-10 19:34:27,2024-12-10 19:34:27
OI-00060-2,ORD-00060,PROD-130,1,72.97,7.23,2024-12-10 19:34:27,2024-12-10 19:34:27
OI-00061-1,ORD-00061,PROD-129,1,263.71,1.75,2024-01-09 11:13:04,2024-01-09 11:13:04
OI-00062-1,ORD-00062,PROD-115,3,281.72,111.09,2024-04-29 16:13:48,2024-04-29 16:13:48
OI-00062-2,ORD-00062,PROD-137,2,276.02,0,2024-04-29 16:13:48,2024-04-29 16:13:48
OI-00062-3,ORD-00062,PROD-121,3,261.06,111.43,2024-04-29 16:13:48,2024-04-29 16:13:48
OI-00063-1,ORD-00063,PROD-123,4,284.29,0,2024-03-30 18:43:27,2024-03-30 18:43:27
OI-00064-1,ORD-00064,PROD-135,2,490.52,0,2024-12-22 14:26:09,2024-12-22 14:26:09
OI-00064-2,ORD-00064,PROD-131,3,207.47,0,2024-12-22 14:26:09,2024-12-22 14:26:09
OI-00065-1,ORD-00065,PROD-125,3,327.41,95.28,2024-08-25 22:03:35,2024-08-25 22:03:35
OI-00065-2,ORD-00065,PROD-116,4,74.59,0,2024-08-25 22:03:35,2024-08-25 22:03:35
OI-00066-1,ORD-00066,PROD-139,2,478.09,0,2024-10-01 19:53:12,2024-10-01 19:53:12
OI-00066-2,ORD-00066,PROD-103,3,594.17,0,2024-10-01 19:53:12,2024-10-01 19:53:12
OI-00066-3,ORD-00066,PROD-105,1,798.17,22.75,2024-10-01 19:53:12,2024-10-01 19:53:12
OI-00066-4,ORD-00066,PROD-113,1,454.72,0,2024-10-01 19:53:12,2024-10-01 19:53:12
OI-00067-1,ORD-00067,PROD-116,4,74.59,0,2024-09-02 22:15:44,2024-09-02 22:15:44
OI-00067-2,ORD-00067,PROD-136,3,556.06,0,2024-09-02 22:15:44,2024-09-02 22:15:44
OI-00067-3,ORD-00067,PROD-121,3,261.06,0,2024-09-02 22:15:44,2024-09-02 22:15:44
OI-00067-4,ORD-00067,PROD-119,4,378.05,0,2024-09-02 22:15:44,2024-09-02 22:15:44
OI-00068-1,ORD-00068,PROD-127,2,631.92,0,2024-08-28 20:53:20,2024-08-28 20:53:20
OI-00068-2,ORD-00068,PROD-103,1,594.17,83.31,2024-08-28 20:53:20,2024-08-28 20:53:20
OI-00068-3,ORD-00068,PROD-137,4,276.02,32.49,2024-08-28 20:53:20,2024-08-28 20:53:20
OI-00069-1,ORD-00069,PROD-117,2,521.02,0,2024-07-13 17:53:15,2024-07-13 17:53:15
OI-00069-2,ORD-00069,PROD-132,3,381.18,123.56,2024-07-13 17:53:15,2024-07-13 17:53:15
OI-00069-3,ORD-00069,PROD-130,4,72.97,38.94,2024-07-13 17:53:15,2024-07-13 17:53:15
OI-00070-1,ORD-00070,PROD-127,2,631.92,0,2024-01-31 16:02:53,2024-01-31 16:02:53
OI-00071-1,ORD-00071,PROD-124,4,24.66,7.87,2024-02-04 19:09:00,2024-02-04 19:09:00
OI-00071-2,ORD-00071,PROD-104,4,537.47,170.73,2024-02-04 19:09:00,2024-02-04 19:09:00
OI-00071-3,ORD-00071,PROD-140,3,29.92,0,2024-02-04 19:09:00,2024-02-04 19:09:00
OI-00071-4,ORD-00071,PROD-131,3,207.47,75.92,2024-02-04 19:09:00,2024-02-04 19:09:00
OI-00072-1,ORD-00072,PROD-116,3,74.59,0,2024-08-08 20:58:11,2024-08-08 20:58:11
OI-00072-2,ORD-00072,PROD-113,3,454.72,0,2024-08-08 20:58:11,2024-08-08 20:58:11
OI-00073-1,ORD-00073,PROD-106,4,210.4,0,2024-07-10 14:29:36,2024-07-10 14:29:36
OI-00073-2,ORD-00073,PROD-103,4,594.17,3.37,2024-07-10 14:29:36,2024-07-10 14:29:36
OI-00073-3,ORD-00073,PROD-126,2,457.47,116.01,2024-07-10 14:29:36,2024-07-10 14:29:36
OI-00074-1,ORD-00074,PROD-114,4,516.29,286.28,2024-06-18 17:54:06,2024-06-18 17:54:06
OI-00074-2,ORD-00074,PROD-137,3,276.02,0,2024-06-18 17:54:06,2024-06-18 17:54:06
OI-00075-1,ORD-00075,PROD-138,4,228.67,0,2024-12-02 08:11:59,2024-12-02 08:11:59
OI-00075-2,ORD-00075,PROD-110,3,152.58,16.51,2024-12-02 08:11:59,2024-12-02 08:11:59
OI-00076-1,ORD-00076,PROD-106,3,210.4,41.38,2024-07-18 18:57:34,2024-07-18 18:57:34
OI-00076-2,ORD-00076,PROD-133,1,754.46,0,2024-07-18 18:57:34,2024-07-18 18:57:34
OI-00077-1,ORD-00077,PROD-129,3,263.71,0,2024-11-10 17:25:49,2024-11-10 17:25:49
OI-00077-2,ORD-00077,PROD-132,4,381.18,0,2024-11-10 17:25:49,2024-11-10 17:25:49
OI-00077-3,ORD-00077,PROD-115,4,281.72,104.57,2024-11-10 17:25:49,2024-11-10 17:25:49
OI-00078-1,ORD-00078,PROD-110,1,152.58,21.58,2024-05-06 19:04:05,2024-05-06 19:04:05
OI-00078-2,ORD-00078,PROD-125,4,327.41,0,2024-05-06 19:04:05,2024-05-06 19:04:05
OI-00078-3,ORD-00078,PROD-121,3,261.06,10.26,2024-05-06 19:04:05,2024-05-06 19:04:05
OI-00078-4,ORD-00078,PROD-124,4,24.66,0,2024-05-06 19:04:05,2024-05-06 19:04:05
OI-00079-1,ORD-00079,PROD-139,3,478.09,0,2024-09-19 14:06:01,2024-09-19 14:06:01
OI-00080-1,ORD-00080,PROD-137,2,276.02,0,2024-05-29 14:24:49,2024-05-29 14:24:49
OI-00080-2,ORD-00080,PROD-134,2,165.71,14.97,2024-05-29 14:24:49,2024-05-29 14:24:49
OI-00081-1,ORD-00081,PROD-131,3,207.47,0,2024-03-15 09:10:27,2024-03-15 09:10:27
OI-00081-2,ORD-00081,PROD-105,4,798.17,0,2024-03-15 09:10:27,2024-03-15 09:10:27
OI-00081-3,ORD-00081,PROD-124,2,24.66,0,2024-03-15 09:10:27,2024-03-15 09:10:27
OI-00082-1,ORD-00082,PROD-129,2,263.71,0,2024-06-04 08:25:21,2024-06-04 08:25:21
OI-00082-2,ORD-00082,PROD-122,2,896.26,0,2024-06-04 08:25:21,2024-06-04 08:25:21
OI-00082-3,ORD-00082,PROD-128,2,237.63,0,2024-06-04 08:25:21,2024-06-04 08:25:21
OI-00083-1,ORD-00083,PROD-121,3,261.06,0,2024-05-29 19:44:40,2024-05-29 19:44:40
OI-00083-2,ORD-00083,PROD-125,4,327.41,0,2024-05-29 19:44:40,2024-05-29 19:44:40
OI-00084-1,ORD-00084,PROD-130,2,72.97,0,2024-10-15 11:37:34,2024-10-15 11:37:34
OI-00085-1,ORD-00085,PROD-120,3,455.08,0,2024-12-20 09:52:54,2024-12-20 09:52:54
OI-00085-2,ORD-00085,PROD-116,4,74.59,0,2024-12-20 09:52:54,2024-12-20 09:52:54
OI-00086-1,ORD-00086,PROD-135,1,490.52,18.26,2024-08-17 17:30:37,2024-08-17 17:30:37
OI-00086-2,ORD-00086,PROD-103,3,594.17,163.82,2024-08-17 17:30:37,2024-08-17 17:30:37
OI-00086-3,ORD-00086,PROD-124,4,24.66,0,2024-08-17 17:30:37,2024-08-17 17:30:37
OI-00086-4,ORD-00086,PROD-139,3,478.09,0,2024-08-17 17:30:37,2024-08-17 17:30:37
OI-00087-1,ORD-00087,PROD-129,4,263.71,0,2024-02-24 08:06:16,2024-02-24 08:06:16
OI-00087-2,ORD-00087,PROD-124,2,24.66,0,2024-02-24 08:06:16,2024-02-24 08:06:16
OI-00088-1,ORD-00088,PROD-123,3,284.29,0,2024-09-04 09:18:26,2024-09-04 09:18:26
OI-00088-2,ORD-00088,PROD-120,2,455.08,0,2024-09-04 09:18:26,2024-09-04 09:18:26
OI-00089-1,ORD-00089,PROD-105,1,798.17,41.08,2024-08-31 09:28:46,2024-08-31 09:28:46
OI-00089-2,ORD-00089,PROD-120,1,455.08,0,2024-08-31 09:28:46,2024-08-31 09:28:46
OI-00089-3,ORD-00089,PROD-103,2,594.17,0,2024-08-31 09:28:46,2024-08-31 09:28:46
OI-00090-1,ORD-00090,PROD-115,4,281.72,103.8,2024-03-30 16:10:21,2024-03-30 16:10:21
OI-00090-2,ORD-00090,PROD-126,2,457.47,0,2024-03-30 16:10:21,2024-03-30 16:10:21
OI-00090-3,ORD-00090,PROD-112,4,437.58,0,2024-03-30 16:10:21,2024-03-30 16:10:21
OI-00090-4,ORD-00090,PROD-128,2,237.63,53.63,2024-03-30 16:10:21,2024-03-30 16:10:21
OI-00091-1,ORD-00091,PROD-121,1,261.06,33.78,2024-02-02 17:06:51,2024-02-02 17:06:51
OI-00091-2,ORD-00091,PROD-113,3,454.72,0,2024-02-02 17:06:51,2024-02-02 17:06:51
OI-00091-3,ORD-00091,PROD-130,4,72.97,0,2024-02-02 17:06:51,2024-02-02 17:06:51
OI-00092-1,ORD-00092,PROD-109,3,774.44,106.42,2024-06-29 21:29:39,2024-06-29 21:29:39
OI-00093-1,ORD-00093,PROD-137,4,276.02,105.25,2024-07-10 19:09:32,2024-07-10 19:09:32
OI-00093-2,ORD-00093,PROD-125,2,327.41,0,2024-07-10 19:09:32,2024-07-10 19:09:32
OI-00094-1,ORD-00094,PROD-123,1,284.29,0,2024-05-27 10:11:20,2024-05-27 10:11:20
OI-00095-1,ORD-00095,PROD-127,1,631.92,0,2024-07-15 16:32:41,2024-07-15 16:32:41
OI-00095-2,ORD-00095,PROD-129,2,263.71,21.74,2024-07-15 16:32:41,2024-07-15 16:32:41
OI-00095-3,ORD-00095,PROD-132,3,381.18,78.44,2024-07-15 16:32:41,2024-07-15 16:32:41
OI-00095-4,ORD-00095,PROD-111,4,831.12,0,2024-07-15 16:32:41,2024-07-15 16:32:41
OI-00096-1,ORD-00096,PROD-129,2,263.71,0,2024-10-20 09:17:49,2024-10-20 09:17:49
OI-00097-1,ORD-00097,PROD-123,1,284.29,0,2024-11-30 20:15:19,2024-11-30 20:15:19
OI-00097-2,ORD-00097,PROD-106,2,210.4,46.56,2024-11-30 20:15:19,2024-11-30 20:15:19
OI-00097-3,ORD-00097,PROD-129,3,263.71,0,2024-11-30 20:15:19,2024-11-30 20:15:19
OI-00098-1,ORD-00098,PROD-104,3,537.47,0,2024-11-19 14:10:39,2024-11-19 14:10:39
OI-00098-2,ORD-00098,PROD-137,2,276.02,0,2024-11-19 14:10:39,2024-11-19 14:10:39
OI-00099-1,ORD-00099,PROD-127,3,631.92,0,2024-05-29 12:36:17,2024-05-29 12:36:17
OI-00099-2,ORD-00099,PROD-104,2,537.47,0,2024-05-29 12:36:17,2024-05-29 12:36:17
OI-00100-1,ORD-00100,PROD-110,4,152.58,0,2024-05-07 10:45:20,2024-05-07 10:45:20
OI-00100-2,ORD-00100,PROD-137,1,276.02,0,2024-05-07 10:45:20,2024-05-07 10:45:20
OI-00100-3,ORD-00100,PROD-118,3,399.59,0,2024-05-07 10:45:20,2024-05-07 10:45:20
OI-00100-4,ORD-00100,PROD-127,3,631.92,0,2024-05-07 10:45:20,2024-05-07 10:45:20
OI-00101-1,ORD-00101,PROD-123,2,284.29,0,2024-06-16 17:00:55,2024-06-16 17:00:55
OI-00101-2,ORD-00101,PROD-105,2,798.17,0,2024-06-16 17:00:55,2024-06-16 17:00:55
OI-00101-3,ORD-00101,PROD-135,3,490.52,0,2024-06-16 17:00:55,2024-06-16 17:00:55
OI-00101-4,ORD-00101,PROD-126,3,457.47,0,2024-06-16 17:00:55,2024-06-16 17:00:55
OI-00102-1,ORD-00102,PROD-107,4,52.73,29.41,2024-09-05 20:21:57,2024-09-05 20:21:57
OI-00103-1,ORD-00103,PROD-111,3,831.12,139.07,2024-08-13 15:00:27,2024-08-13 15:00:27
OI-00103-2,ORD-00103,PROD-118,2,399.59,75.0,2024-08-13 15:00:27,2024-08-13 15:00:27
OI-00103-3,ORD-00103,PROD-106,2,210.4,0,2024-08-13 15:00:27,2024-08-13 15:00:27
