payment_id,order_id,payment_method,amount,status,payment_date,payment_timestamp,created_at,updated_at
PAY-00017,ORD-00017,DEBIT_CARD,3841.94,CAPTURED,2024-11-07,2024-11-07 16:27:07,2024-11-07 16:27:07,2024-11-07 16:27:07
PAY-00018,ORD-00018,DEBIT_CARD,1406.85,REFUNDED,2024-11-19,2024-11-19 16:36:15,2024-11-19 16:36:15,2024-11-19 16:36:15
PAY-00019,ORD-00019,CREDIT_CARD,3252.46,CAPTURED,2024-10-10,2024-10-10 08:24:55,2024-10-10 08:24:55,2024-10-10 08:24:55
PAY-00020,ORD-00020,DEBIT_CARD,938.87,REFUNDED,2024-12-16,2024-12-16 15:44:30,2024-12-16 15:44:30,2024-12-16 15:44:30
PAY-00021,ORD-00021,APPLE_PAY,3235.39,CAPTURED,2024-06-07,2024-06-07 16:25:52,2024-06-07 16:25:52,2024-06-07 16:25:52
PAY-00022,ORD-00022,PAYPAL,1233.27,CAPTURED,2024-07-23,2024-07-23 19:28:57,2024-07-23 19:28:57,2024-07-23 19:28:57
PAY-00023,ORD-00023,CREDIT_CARD,3785.4,CAPTURED,2024-04-02,2024-04-02 16:18:20,2024-04-02 16:18:20,2024-04-02 16:18:20
PAY-00024,ORD-00024,APPLE_PAY,6757.22,CAPTURED,2024-05-20,2024-05-20 18:50:03,2024-05-20 18:50:03,2024-05-20 18:50:03
PAY-00025,ORD-00025,PAYPAL,4534.07,CAPTURED,2024-01-17,2024-01-17 17:09:43,2024-01-17 17:09:43,2024-01-17 17:09:43
PAY-00026,ORD-00026,CREDIT_CARD,3112.71,CAPTURED,2024-04-05,2024-04-05 15:33:24,2024-04-05 15:33:24,2024-04-05 15:33:24
PAY-00027,ORD-00027,PAYPAL,4487.67,REFUNDED,2024-12-31,2024-12-31 15:05:51,2024-12-31 15:05:51,2024-12-31 15:05:51
PAY-00028,ORD-00028,DEBIT_CARD,3633.6,CAPTURED,2024-04-24,2024-04-24 09:12:50,2024-04-24 09:12:50,2024-04-24 09:12:50
PAY-00029,ORD-00029,PAYPAL,1054.84,CAPTURED,2024-07-28,2024-07-28 21:36:04,2024-07-28 21:36:04,2024-07-28 21:36:04
PAY-00030,ORD-00030,GIFT_CARD,1249.7,CAPTURED,2024-03-06,2024-03-06 22:53:49,2024-03-06 22:53:49,2024-03-06 22:53:49
PAY-00031,ORD-00031,GIFT_CARD,2032.99,CAPTURED,2024-06-14,2024-06-14 22:45:14,2024-06-14 22:45:14,2024-06-14 22:45:14
PAY-00032,ORD-00032,GIFT_CARD,4641.77,REFUNDED,2024-03-19,2024-03-19 10:42:39,2024-03-19 10:42:39,2024-03-19 10:42:39
PAY-00032-R,ORD-00032,GIFT_CARD,4641.77,REFUNDED,2024-03-19,2024-03-19 10:42:39,2024-03-19 10:42:39,2024-03-19 10:42:39
PAY-00033,ORD-00033,APPLE_PAY,3633.75,CAPTURED,2024-11-17,2024-11-17 16:18:41,2024-11-17 16:18:41,2024-11-17 16:18:41
PAY-00034,ORD-00034,PAYPAL,3393.49,CAPTURED,2024-04-14,2024-04-14 13:38:09,2024-04-14 13:38:09,2024-04-14 13:38:09
PAY-00035,ORD-00035,PAYPAL,4693.42,CAPTURED,2024-11-11,2024-11-11 14:15:55,2024-11-11 14:15:55,2024-11-11 14:15:55
PAY-00036,ORD-00036,CREDIT_CARD,1512.2,CAPTURED,2024-08-22,2024-08-22 11:13:37,2024-08-22 11:13:37,2024-08-22 11:13:37
PAY-00037,ORD-00037,CREDIT_CARD,475.26,CAPTURED,2024-11-30,2024-11-30 18:30:18,2024-11-30 18:30:18,2024-11-30 18:30:18
PAY-00038,ORD-00038,APPLE_PAY,552.04,CAPTURED,2024-07-06,2024-07-06 20:25:23,2024-07-06 20:25:23,2024-07-06 20:25:23
PAY-00039,ORD-00039,PAYPAL,774.44,CAPTURED,2024-02-07,2024-02-07 14:32:28,2024-02-07 14:32:28,2024-02-07 14:32:28
PAY-00040,ORD-00040,DEBIT_CARD,8044.31,CAPTURED,2024-06-22,2024-06-22 16:23:48,2024-06-22 16:23:48,2024-06-22 16:23:48
PAY-00041,ORD-00041,GIFT_CARD,2558.0,CAPTURED,2024-06-02,2024-06-02 17:21:32,2024-06-02 17:21:32,2024-06-02 17:21:32
PAY-00042,ORD-00042,DEBIT_CARD,828.38,CAPTURED,2024-12-01,2024-12-01 20:49:37,2024-12-01 20:49:37,2024-12-01 20:49:37
PAY-00043,ORD-00043,CREDIT_CARD,454.72,CAPTURED,2024-07-13,2024-07-13 10:52:43,2024-07-13 10:52:43,2024-07-13 10:52:43
PAY-00044,ORD-00044,GIFT_CARD,7272.46,CAPTURED,2024-03-18,2024-03-18 14:44:13,2024-03-18 14:44:13,2024-03-18 14:44:13
PAY-00045,ORD-00045,PAYPAL,4412.27,REFUNDED,2024-10-06,2024-10-06 13:43:49,2024-10-06 13:43:49,2024-10-06 13:43:49
PAY-00045-R,ORD-00045,PAYPAL,4412.27,REFUNDED,2024-10-06,2024-10-06 13:43:49,2024-10-06 13:43:49,2024-10-06 13:43:49
PAY-00046,ORD-00046,GIFT_CARD,2414.1,REFUNDED,2024-05-20,2024-05-20 12:07:36,2024-05-20 12:07:36,2024-05-20 12:07:36
PAY-00047,ORD-00047,GIFT_CARD,660.02,CAPTURED,2024-10-14,2024-10-14 19:17:08,2024-10-14 19:17:08,2024-10-14 19:17:08
PAY-00048,ORD-00048,GIFT_CARD,3150.09,CAPTURED,2024-02-21,2024-02-21 18:49:08,2024-02-21 18:49:08,2024-02-21 18:49:08
PAY-00049,ORD-00049,GIFT_CARD,2169.38,REFUNDED,2024-01-31,2024-01-31 22:49:05,2024-01-31 22:49:05,2024-01-31 22:49:05
PAY-00050,ORD-00050,PAYPAL,1967.49,REFUNDED,2024-07-22,2024-07-22 20:31:11,2024-07-22 20:31:11,2024-07-22 20:31:11
PAY-00050-R,ORD-00050,PAYPAL,1967.49,REFUNDED,2024-07-22,2024-07-22 20:31:11,2024-07-22 20:31:11,2024-07-22 20:31:11
PAY-00051,ORD-00051,APPLE_PAY,2371.08,CAPTURED,2024-05-25,2024-05-25 15:41:34,2024-05-25 15:41:34,2024-05-25 15:41:34
PAY-00052,ORD-00052,PAYPAL,3206.45,REFUNDED,2024-05-11,2024-05-11 19:11:00,2024-05-11 19:11:00,2024-05-11 19:11:00
PAY-00052-R,ORD-00052,PAYPAL,3206.45,REFUNDED,2024-05-11,2024-05-11 19:11:00,2024-05-11 19:11:00,2024-05-11 19:11:00
PAY-00053,ORD-00053,APPLE_PAY,2357.35,CAPTURED,2024-05-07,2024-05-07 08:16:24,2024-05-07 08:16:24,2024-05-07 08:16:24
PAY-00054,ORD-00054,PAYPAL,4049.18,CAPTURED,2024-12-26,2024-12-26 20:19:44,2024-12-26 20:19:44,2024-12-26 20:19:44
PAY-00055,ORD-00055,GIFT_CARD,662.84,CAPTURED,2024-12-06,2024-12-06 21:13:48,2024-12-06 21:13:48,2024-12-06 21:13:48
PAY-00056,ORD-00056,GIFT_CARD,2382.91,CAPTURED,2024-02-09,2024-02-09 22:36:07,2024-02-09 22:36:07,2024-02-09 22:36:07
PAY-00057,ORD-00057,CREDIT_CARD,5710.3,CAPTURED,2024-09-07,2024-09-07 09:57:32,2024-09-07 09:57:32,2024-09-07 09:57:32
PAY-00058,ORD-00058,CREDIT_CARD,201.87,CAPTURED,2024-08-04,2024-08-04 13:44:04,2024-08-04 13:44:04,2024-08-04 13:44:04
PAY-00059,ORD-00059,APPLE_PAY,3433.03,CAPTURED,2024-11-24,2024-11-24 19:41:26,2024-11-24 19:41:26,2024-11-24 19:41:26
PAY-00060,ORD-00060,APPLE_PAY,283.18,CAPTURED,2024-12-10,2024-12-10 19:34:27,2024-12-10 19:34:27,2024-12-10 19:34:27
PAY-00061,ORD-00061,GIFT_CARD,261.96,CAPTURED,2024-01-09,2024-01-09 11:13:04,2024-01-09 11:13:04,2024-01-09 11:13:04
PAY-00062,ORD-00062,DEBIT_CARD,1957.86,CAPTURED,2024-04-29,2024-04-29 16:13:48,2024-04-29 16:13:48,2024-04-29 16:13:48
PAY-00063,ORD-00063,APPLE_PAY,1137.16,CAPTURED,2024-03-30,2024-03-30 18:43:27,2024-03-30 18:43:27,2024-03-30 18:43:27
PAY-00064,ORD-00064,APPLE_PAY,1603.45,CAPTURED,2024-12-22,2024-12-22 14:26:09,2024-12-22 14:26:09,2024-12-22 14:26:09
PAY-00065,ORD-00065,APPLE_PAY,1185.31,CAPTURED,2024-08-25,2024-08-25 22:03:35,2024-08-25 22:03:35,2024-08-25 22:03:35
PAY-00066,ORD-00066,PAYPAL,3968.83,CAPTURED,2024-10-01,2024-10-01 19:53:12,2024-10-01 19:53:12,2024-10-01 19:53:12
PAY-00067,ORD-00067,DEBIT_CARD,4261.92,CAPTURED,2024-09-02,2024-09-02 22:15:44,2024-09-02 22:15:44,2024-09-02 22:15:44
PAY-00068,ORD-00068,PAYPAL,2846.29,CAPTURED,2024-08-28,2024-08-28 20:53:20,2024-08-28 20:53:20,2024-08-28 20:53:20
PAY-00069,ORD-00069,GIFT_CARD,2314.96,CAPTURED,2024-07-13,2024-07-13 17:53:15,2024-07-13 17:53:15,2024-07-13 17:53:15
PAY-00070,ORD-00070,CREDIT_CARD,1263.84,CAPTURED,2024-01-31,2024-01-31 16:02:53,2024-01-31 16:02:53,2024-01-31 16:02:53
PAY-00071,ORD-00071,GIFT_CARD,2706.17,CAPTURED,2024-02-04,2024-02-04 19:09:00,2024-02-04 19:09:00,2024-02-04 19:09:00
PAY-00072,ORD-00072,CREDIT_CARD,1587.93,CAPTURED,2024-08-08,2024-08-08 20:58:11,2024-08-08 20:58:11,2024-08-08 20:58:11
PAY-00073,ORD-00073,DEBIT_CARD,4013.84,CAPTURED,2024-07-10,2024-07-10 14:29:36,2024-07-10 14:29:36,2024-07-10 14:29:36
PAY-00074,ORD-00074,CREDIT_CARD,2606.94,CAPTURED,2024-06-18,2024-06-18 17:54:06,2024-06-18 17:54:06,2024-06-18 17:54:06
PAY-00075,ORD-00075,CREDIT_CARD,1355.91,CAPTURED,2024-12-02,2024-12-02 08:11:59,2024-12-02 08:11:59,2024-12-02 08:11:59
PAY-00076,ORD-00076,APPLE_PAY,1344.28,CAPTURED,2024-07-18,2024-07-18 18:57:34,2024-07-18 18:57:34,2024-07-18 18:57:34
PAY-00077,ORD-00077,CREDIT_CARD,3338.16,CAPTURED,2024-11-10,2024-11-10 17:25:49,2024-11-10 17:25:49,2024-11-10 17:25:49
PAY-00078,ORD-00078,DEBIT_CARD,2312.2,CAPTURED,2024-05-06,2024-05-06 19:04:05,2024-05-06 19:04:05,2024-05-06 19:04:05
PAY-00079,ORD-00079,PAYPAL,1434.27,CAPTURED,2024-09-19,2024-09-19 14:06:01,2024-09-19 14:06:01,2024-09-19 14:06:01
PAY-00080,ORD-00080,GIFT_CARD,868.49,CAPTURED,2024-05-29,2024-05-29 14:24:49,2024-05-29 14:24:49,2024-05-29 14:24:49
PAY-00081,ORD-00081,APPLE_PAY,3864.41,CAPTURED,2024-03-15,2024-03-15 09:10:27,2024-03-15 09:10:27,2024-03-15 09:10:27
PAY-00082,ORD-00082,APPLE_PAY,2795.2,CAPTURED,2024-06-04,2024-06-04 08:25:21,2024-06-04 08:25:21,2024-06-04 08:25:21
PAY-00083,ORD-00083,GIFT_CARD,2092.82,CAPTURED,2024-05-29,2024-05-29 19:44:40,2024-05-29 19:44:40,2024-05-29 19:44:40
PAY-00084,ORD-00084,GIFT_CARD,145.94,CAPTURED,2024-10-15,2024-10-15 11:37:34,2024-10-15 11:37:34,2024-10-15 11:37:34
PAY-00085,ORD-00085,APPLE_PAY,1663.6,CAPTURED,2024-12-20,2024-12-20 09:52:54,2024-12-20 09:52:54,2024-12-20 09:52:54
PAY-00086,ORD-00086,GIFT_CARD,3623.86,CAPTURED,2024-08-17,2024-08-17 17:30:37,2024-08-17 17:30:37,2024-08-17 17:30:37
PAY-00087,ORD-00087,GIFT_CARD,1104.16,CAPTURED,2024-02-24,2024-02-24 08:06:16,2024-02-24 08:06:16,2024-02-24 08:06:16
PAY-00088,ORD-00088,CREDIT_CARD,1763.03,CAPTURED,2024-09-04,2024-09-04 09:18:26,2024-09-04 09:18:26,2024-09-04 09:18:26
PAY-00089,ORD-00089,APPLE_PAY,2400.51,REFUNDED,2024-08-31,2024-08-31 09:28:46,2024-08-31 09:28:46,2024-08-31 09:28:46
PAY-00090,ORD-00090,APPLE_PAY,4109.97,CAPTURED,2024-03-30,2024-03-30 16:10:21,2024-03-30 16:10:21,2024-03-30 16:10:21
PAY-00091,ORD-00091,DEBIT_CARD,1883.32,CAPTURED,2024-02-02,2024-02-02 17:06:51,2024-02-02 17:06:51,2024-02-02 17:06:51
PAY-00092,ORD-00092,PAYPAL,2216.9,CAPTURED,2024-06-29,2024-06-29 21:29:39,2024-06-29 21:29:39,2024-06-29 21:29:39
PAY-00093,ORD-00093,APPLE_PAY,1653.65,CAPTURED,2024-07-10,2024-07-10 19:09:32,2024-07-10 19:09:32,2024-07-10 19:09:32
PAY-00094,ORD-00094,GIFT_CARD,284.29,CAPTURED,2024-05-27,2024-05-27 10:11:20,2024-05-27 10:11:20,2024-05-27 10:11:20
PAY-00095,ORD-00095,APPLE_PAY,5527.18,CAPTURED,2024-07-15,2024-07-15 16:32:41,2024-07-15 16:32:41,2024-07-15 16:32:41
PAY-00096,ORD-00096,PAYPAL,527.42,CAPTURED,2024-10-20,2024-10-20 09:17:49,2024-10-20 09:17:49,2024-10-20 09:17:49
PAY-00097,ORD-00097,APPLE_PAY,1449.66,CAPTURED,2024-11-30,2024-11-30 20:15:19,2024-11-30 20:15:19,2024-11-30 20:15:19
PAY-00098,ORD-00098,DEBIT_CARD,2164.45,CAPTURED,2024-11-19,2024-11-19 14:10:39,2024-11-19 14:10:39,2024-11-19 14:10:39
PAY-00099,ORD-00099,CREDIT_CARD,2970.7,CAPTURED,2024-05-29,2024-05-29 12:36:17,2024-05-29 12:36:17,2024-05-29 12:36:17
PAY-00100,ORD-00100,APPLE_PAY,3980.87,CAPTURED,2024-05-07,2024-05-07 10:45:20,2024-05-07 10:45:20,2024-05-07 10:45:20
PAY-00101,ORD-00101,CREDIT_CARD,5008.89,REFUNDED,2024-06-16,2024-06-16 17:00:55,2024-06-16 17:00:55,2024-06-16 17:00:55
PAY-00101-R,ORD-00101,CREDIT_CARD,5008.89,REFUNDED,2024-06-16,2024-06-16 17:00:55,2024-06-16 17:00:55,2024-06-16 17:00:55
PAY-00102,ORD-00102,CREDIT_CARD,181.51,REFUNDED,2024-09-05,2024-09-05 20:21:57,2024-09-05 20:21:57,2024-09-05 20:21:57
PAY-00103,ORD-00103,DEBIT_CARD,3499.27,CAPTURED,2024-08-13,2024-08-13 15:00:27,2024-08-13 15:00:27,2024-08-13 15:00:27
PAY-00104,ORD-00104,CREDIT_CARD,1100.96,CAPTURED,2024-12-26,2024-12-26 09:00:13,2024-12-26 09:00:13,2024-12-26 09:00:13
PAY-00105,ORD-00105,APPLE_PAY,52.73,CAPTURED,2024-12-21,2024-12-21 10:30:04,2024-12-21 10:30:04,2024-12-21 10:30:04
PAY-00106,ORD-00106,DEBIT_CARD,165.71,CAPTURED,2024-06-02,2024-06-02 10:24:49,2024-06-02 10:24:49,2024-06-02 10:24:49
PAY-00107,ORD-00107,DEBIT_CARD,3529.48,REFUNDED,2024-08-13,2024-08-13 13:46:13,2024-08-13 13:46:13,2024-08-13 13:46:13
PAY-00108,ORD-00108,PAYPAL,910.16,CAPTURED,2024-10-10,2024-10-10 17:38:46,2024-10-10 17:38:46,2024-10-10 17:38:46
PAY-00109,ORD-00109,CREDIT_CARD,672.11,REFUNDED,2024-04-06,2024-04-06 19:25:18,2024-04-06 19:25:18,2024-04-06 19:25:18
PAY-00110,ORD-00110,GIFT_CARD,3872.53,CAPTURED,2024-07-03,2024-07-03 22:20:08,2024-07-03 22:20:08,2024-07-03 22:20:08
PAY-00111,ORD-00111,DEBIT_CARD,4348.8,CAPTURED,2024-02-12,2024-02-12 18:34:34,2024-02-12 18:34:34,2024-02-12 18:34:34
PAY-00112,ORD-00112,APPLE_PAY,612.06,CAPTURED,2024-11-28,2024-11-28 18:41:04,2024-11-28 18:41:04,2024-11-28 18:41:04
PAY-00113,ORD-00113,DEBIT_CARD,1311.66,REFUNDED,2024-01-29,2024-01-29 12:42:47,2024-01-29 12:42:47,2024-01-29 12:42:47
PAY-00114,ORD-00114,PAYPAL,848.42,REFUNDED,2024-09-11,2024-09-11 13:33:33,2024-09-11 13:33:33,2024-09-11 13:33:33
PAY-00114-R,ORD-00114,PAYPAL,848.42,REFUNDED,2024-09-11,2024-09-11 13:33:33,2024-09-11 13:33:33,2024-09-11 13:33:33
PAY-00115,ORD-00115,GIFT_CARD,1524.72,CAPTURED,2024-08-07,2024-08-07 12:33:04,2024-08-07 12:33:04,2024-08-07 12:33:04
PAY-00116,ORD-00116,DEBIT_CARD,1132.1,CAPTURED,2024-09-12,2024-09-12 21:36:10,2024-09-12 21:36:10,2024-09-12 21:36:10
PAY-00117,ORD-00117,GIFT_CARD,2236.88,CAPTURED,2024-03-17,2024-03-17 10:59:54,2024-03-17 10:59:54,2024-03-17 10:59:54
PAY-00118,ORD-00118,PAYPAL,2157.29,CAPTURED,2024-08-26,2024-08-26 21:18:49,2024-08-26 21:18:49,2024-08-26 21:18:49
PAY-00119,ORD-00119,PAYPAL,1146.92,CAPTURED,2024-06-04,2024-06-04 19:39:15,2024-06-04 19:39:15,2024-06-04 19:39:15
PAY-00120,ORD-00120,APPLE_PAY,2556.96,CAPTURED,2024-06-06,2024-06-06 09:13:33,2024-06-06 09:13:33,2024-06-06 09:13:33
PAY-00121,ORD-00121,GIFT_CARD,456.65,CAPTURED,2024-03-09,2024-03-09 18:52:25,2024-03-09 18:52:25,2024-03-09 18:52:25
PAY-00122,ORD-00122,PAYPAL,4721.35,CAPTURED,2024-07-20,2024-07-20 19:53:47,2024-07-20 19:53:47,2024-07-20 19:53:47
PAY-00123,ORD-00123,CREDIT_CARD,2493.36,CAPTURED,2024-04-16,2024-04-16 15:19:29,2024-04-16 15:19:29,2024-04-16 15:19:29
PAY-00124,ORD-00124,DEBIT_CARD,223.77,CAPTURED,2024-11-04,2024-11-04 08:13:53,2024-11-04 08:13:53,2024-11-04 08:13:53
PAY-00125,ORD-00125,CREDIT_CARD,1704.98,CAPTURED,2024-12-12,2024-12-12 12:16:52,2024-12-12 12:16:52,2024-12-12 12:16:52
PAY-00126,ORD-00126,CREDIT_CARD,1818.88,CAPTURED,2024-02-13,2024-02-13 17:37:16,2024-02-13 17:37:16,2024-02-13 17:37:16
PAY-00127,ORD-00127,DEBIT_CARD,4320.83,CAPTURED,2024-06-18,2024-06-18 09:02:29,2024-06-18 09:02:29,2024-06-18 09:02:29
PAY-00128,ORD-00128,CREDIT_CARD,2835.62,CAPTURED,2024-07-29,2024-07-29 22:35:30,2024-07-29 22:35:30,2024-07-29 22:35:30
PAY-00129,ORD-00129,PAYPAL,2146.91,CAPTURED,2024-12-31,2024-12-31 13:30:34,2024-12-31 13:30:34,2024-12-31 13:30:34
PAY-00130,ORD-00130,CREDIT_CARD,873.77,CAPTURED,2024-07-02,2024-07-02 20:37:14,2024-07-02 20:37:14,2024-07-02 20:37:14
PAY-00131,ORD-00131,DEBIT_CARD,947.07,CAPTURED,2024-07-17,2024-07-17 13:59:53,2024-07-17 13:59:53,2024-07-17 13:59:53
PAY-00132,ORD-00132,APPLE_PAY,1373.44,CAPTURED,2024-10-17,2024-10-17 17:09:36,2024-10-17 17:09:36,2024-10-17 17:09:36
PAY-00133,ORD-00133,DEBIT_CARD,3490.03,REFUNDED,2024-04-13,2024-04-13 20:08:21,2024-04-13 20:08:21,2024-04-13 20:08:21
PAY-00134,ORD-00134,DEBIT_CARD,4958.11,CAPTURED,2024-02-21,2024-02-21 13:19:20,2024-02-21 13:19:20,2024-02-21 13:19:20
PAY-00135,ORD-00135,GIFT_CARD,1086.1,CAPTURED,2024-10-17,2024-10-17 08:11:38,2024-10-17 08:11:38,2024-10-17 08:11:38
PAY-00136,ORD-00136,PAYPAL,1991.5,REFUNDED,2024-03-26,2024-03-26 18:56:05,2024-03-26 18:56:05,2024-03-26 18:56:05
PAY-00137,ORD-00137,APPLE_PAY,1082.22,CAPTURED,2024-07-12,2024-07-12 13:34:24,2024-07-12 13:34:24,2024-07-12 13:34:24
PAY-00138,ORD-00138,DEBIT_CARD,556.06,CAPTURED,2024-02-07,2024-02-07 13:10:56,2024-02-07 13:10:56,2024-02-07 13:10:56
PAY-00139,ORD-00139,DEBIT_CARD,6639.07,REFUNDED,2024-09-04,2024-09-04 19:01:27,2024-09-04 19:01:27,2024-09-04 19:01:27
PAY-00140,ORD-00140,PAYPAL,214.03,CAPTURED,2024-10-08,2024-10-08 21:31:09,2024-10-08 21:31:09,2024-10-08 21:31:09
PAY-00141,ORD-00141,DEBIT_CARD,2606.89,CAPTURED,2024-09-02,2024-09-02 11:06:01,2024-09-02 11:06:01,2024-09-02 11:06:01
PAY-00142,ORD-00142,APPLE_PAY,2084.08,CAPTURED,2024-07-08,2024-07-08 22:24:23,2024-07-08 22:24:23,2024-07-08 22:24:23
PAY-00143,ORD-00143,CREDIT_CARD,1137.16,REFUNDED,2024-05-17,2024-05-17 17:03:09,2024-05-17 17:03:09,2024-05-17 17:03:09
PAY-00144,ORD-00144,APPLE_PAY,1628.58,CAPTURED,2024-02-01,2024-02-01 21:24:52,2024-02-01 21:24:52,2024-02-01 21:24:52
PAY-00145,ORD-00145,APPLE_PAY,475.26,CAPTURED,2024-04-18,2024-04-18 20:12:08,2024-04-18 20:12:08,2024-04-18 20:12:08
PAY-00146,ORD-00146,CREDIT_CARD,1309.64,CAPTURED,2024-03-16,2024-03-16 21:38:16,2024-03-16 21:38:16,2024-03-16 21:38:16
PAY-00147,ORD-00147,GIFT_CARD,2333.6,CAPTURED,2024-05-21,2024-05-21 16:29:58,2024-05-21 16:29:58,2024-05-21 16:29:58
PAY-00148,ORD-00148,PAYPAL,2092.84,CAPTURED,2024-10-19,2024-10-19 17:30:02,2024-10-19 17:30:02,2024-10-19 17:30:02
PAY-00149,ORD-00149,PAYPAL,3573.44,CAPTURED,2024-06-21,2024-06-21 21:50:19,2024-06-21 21:50:19,2024-06-21 21:50:19
PAY-00150,ORD-00150,GIFT_CARD,3180.33,CAPTURED,2024-09-21,2024-09-21 21:23:52,2024-09-21 21:23:52,2024-09-21 21:23:52
PAY-00151,ORD-00151,PAYPAL,1623.02,CAPTURED,2024-01-30,2024-01-30 11:02:29,2024-01-30 11:02:29,2024-01-30 11:02:29
PAY-00152,ORD-00152,APPLE_PAY,2972.09,CAPTURED,2024-07-09,2024-07-09 15:38:28,2024-07-09 15:38:28,2024-07-09 15:38:28
PAY-00153,ORD-00153,APPLE_PAY,2623.32,REFUNDED,2024-04-25,2024-04-25 18:13:17,2024-04-25 18:13:17,2024-04-25 18:13:17
PAY-00154,ORD-00154,PAYPAL,2983.67,CAPTURED,2024-03-29,2024-03-29 17:51:00,2024-03-29 17:51:00,2024-03-29 17:51:00
PAY-00155,ORD-00155,GIFT_CARD,1169.29,CAPTURED,2024-09-18,2024-09-18 18:53:53,2024-09-18 18:53:53,2024-09-18 18:53:53
PAY-00156,ORD-00156,DEBIT_CARD,1912.36,CAPTURED,2024-11-29,2024-11-29 12:12:09,2024-11-29 12:12:09,2024-11-29 12:12:09
PAY-00157,ORD-00157,PAYPAL,2201.68,CAPTURED,2024-03-12,2024-03-12 19:01:41,2024-03-12 19:01:41,2024-03-12 19:01:41
PAY-00158,ORD-00158,PAYPAL,2948.9,CAPTURED,2024-08-31,2024-08-31 22:42:22,2024-08-31 22:42:22,2024-08-31 22:42:22
PAY-00159,ORD-00159,CREDIT_CARD,1698.03,REFUNDED,2024-04-03,2024-04-03 18:57:21,2024-04-03 18:57:21,2024-04-03 18:57:21
PAY-00160,ORD-00160,CREDIT_CARD,414.94,CAPTURED,2024-05-30,2024-05-30 15:54:07,2024-05-30 15:54:07,2024-05-30 15:54:07
PAY-00161,ORD-00161,CREDIT_CARD,3906.91,CAPTURED,2024-12-14,2024-12-14 14:33:19,2024-12-14 14:33:19,2024-12-14 14:33:19
PAY-00162,ORD-00162,PAYPAL,2323.79,CAPTURED,2024-02-11,2024-02-11 15:21:40,2024-02-11 15:21:40,2024-02-11 15:21:40
PAY-00163,ORD-00163,DEBIT_CARD,2879.75,CAPTURED,2024-10-22,2024-10-22 20:10:31,2024-10-22 20:10:31,2024-10-22 20:10:31
PAY-00164,ORD-00164,PAYPAL,1120.87,CAPTURED,2024-05-07,2024-05-07 11:44:56,2024-05-07 11:44:56,2024-05-07 11:44:56
PAY-00165,ORD-00165,DEBIT_CARD,2767.71,CAPTURED,2024-09-23,2024-09-23 17:33:21,2024-09-23 17:33:21,2024-09-23 17:33:21
